X,Y,W,H,flag
2,225,5,6,1
2,661,3,3,0
2,696,4,3,0
2,772,4,4,1
2,832,4,3,0
2,1011,4,4,0
2,1106,3,3,0
2,1359,7,3,1
2,1548,5,6,1
2,1602,4,3,0
2,1632,3,4,0
2,1842,4,4,1
2,1971,4,4,0
2,2134,3,3,1
3,178,4,5,0
3,503,4,4,1
3,577,4,6,1
3,714,6,5,1
3,875,6,6,1
3,892,3,4,1
3,1132,7,5,1
3,1308,3,3,0
3,1617,4,4,0
3,1770,4,4,1
3,1936,4,3,0
3,2031,4,5,1
3,2141,3,3,0
3,2165,3,3,0
4,548,10,9,1
4,800,3,3,0
4,902,4,3,0
4,1267,5,5,0
4,1723,6,6,0
4,2007,5,6,0
5,370,6,8,1
5,415,3,3,1
5,473,3,3,0
5,522,3,3,1
5,840,7,4,1
5,857,3,3,1
5,935,3,3,1
5,952,4,4,0
5,1034,4,4,1
5,1057,6,5,0
6,1050,5,4,1
7,243,5,6,1
7,641,4,4,0
7,734,3,3,0
7,767,5,6,1
7,1863,3,5,0
8,98,3,3,1
8,155,3,3,0
8,302,5,5,0
8,363,4,3,1
8,526,6,4,0
8,1147,3,3,0
8,1332,4,3,0
8,1392,4,3,1
8,1409,6,9,0
8,1433,5,5,1
8,1748,4,3,0
8,1757,5,5,0
8,1786,3,4,0
8,2063,4,5,0
9,589,5,5,1
9,1087,6,6,1
9,1348,3,3,0
9,1498,6,7,0
9,1736,9,5,1
9,1821,3,3,1
9,1942,3,3,0
10,132,4,5,0
10,790,6,6,1
10,1342,3,4,1
10,1962,5,4,1
10,2039,4,5,0
10,2085,5,4,1
11,233,5,5,0
11,342,6,6,1
11,670,4,4,0
11,693,3,3,0
11,751,3,3,1
11,1142,4,3,1
11,1230,6,6,1
11,1604,4,3,1
11,1774,5,6,1
12,439,3,4,0
12,889,5,5,1
12,1153,3,3,0
12,1277,3,3,0
12,1320,4,4,1
12,1426,4,4,0
12,1665,4,3,1
13,446,4,4,1
13,458,6,6,0
13,804,5,4,1
13,831,4,3,0
13,940,3,4,0
13,1201,5,4,1
13,1252,4,3,0
13,1269,6,5,1
13,1388,4,4,1
13,1934,4,4,0
14,396,6,6,1
14,1681,3,5,0
15,189,4,5,0
15,294,3,3,0
15,382,4,4,0
15,574,8,3,1
15,703,4,3,0
15,972,6,5,0
15,1357,5,5,1
15,1584,7,3,0
16,357,5,4,1
16,503,7,4,1
16,555,6,4,1
16,595,3,3,1
16,1132,3,3,1
16,1398,5,3,1
16,1572,5,5,1
16,1624,4,3,0
16,1699,6,6,1
16,1869,4,4,1
16,1892,6,5,1
17,158,7,6,1
17,254,6,5,1
17,535,3,4,0
17,545,4,5,1
17,843,4,4,1
17,907,6,3,1
17,1297,3,4,1
17,1730,3,3,0
17,1804,6,5,1
17,2129,3,3,0
18,209,6,6,0
18,222,3,3,0
18,1288,3,3,1
18,1753,3,3,0
19,177,8,5,1
19,587,3,3,1
19,728,4,4,1
19,767,5,6,1
19,1192,4,7,1
19,1216,6,4,1
19,1435,3,3,0
19,2157,4,4,1
20,113,4,4,1
20,197,4,5,0
20,451,4,3,1
20,607,4,3,1
20,737,6,11,0
20,982,4,4,1
20,1001,4,5,1
20,1237,4,3,1
20,1761,6,5,1
20,2143,4,4,0
21,153,3,3,1
21,763,3,3,1
21,830,4,6,1
21,1081,6,5,0
21,1307,7,6,1
21,1694,3,3,0
21,1913,3,5,1
21,1931,5,5,1
21,1995,3,3,1
21,2110,7,6,1
21,2174,4,3,1
21,2227,3,4,0
22,226,6,6,1
22,634,7,8,1
22,800,5,4,1
22,1016,3,3,1
22,1066,6,6,1
22,1411,3,4,0
22,1884,9,5,1
22,1966,3,3,1
22,2073,4,3,0
22,2081,5,4,1
22,2184,4,4,0
23,341,7,5,1
23,418,5,5,1
23,460,4,4,1
23,939,5,4,1
23,1108,6,6,1
23,1170,8,6,1
23,1292,4,4,0
23,1461,7,6,1
23,1811,9,5,0
23,1908,3,3,1
24,120,4,5,0
24,259,4,3,1
24,275,6,6,1
24,515,5,5,1
24,1323,5,6,1
24,1592,7,7,1
24,1642,5,5,1
24,1738,4,4,1
24,1777,4,3,1
25,265,5,6,1
25,320,5,5,0
25,400,4,5,0
25,817,4,4,1
25,847,6,5,1
25,1029,4,4,1
25,1036,5,5,1
25,1100,5,5,1
25,1390,6,5,1
26,443,5,5,1
26,543,3,3,0
26,709,4,4,0
26,724,7,5,1
26,1374,5,4,1
27,311,4,3,0
27,438,3,3,1
27,552,9,6,0
27,570,5,5,0
27,611,3,3,0
27,716,7,4,1
27,2209,7,5,1
28,99,6,8,1
28,166,4,4,0
28,531,5,5,1
28,795,3,3,0
28,1021,6,5,1
28,1076,5,5,1
28,1146,7,7,1
28,1317,5,5,0
28,1789,4,5,1
28,2156,4,4,1
29,134,4,4,1
29,620,4,4,0
29,670,5,4,0
29,982,5,4,0
29,1047,5,5,1
29,1603,3,3,1
29,1892,5,6,1
29,1985,5,6,0
29,2184,5,4,0
30,218,3,3,0
30,419,5,5,1
30,686,3,3,1
30,1220,8,7,0
30,1232,4,4,1
30,1367,4,5,1
30,1650,5,10,1
30,1826,5,6,1
30,1844,6,5,1
30,2093,5,5,1
31,333,3,3,0
31,474,4,7,1
31,517,4,4,0
31,754,4,4,1
31,956,6,7,1
31,1004,4,4,1
31,1189,5,5,1
31,1334,4,3,1
31,1417,5,4,1
31,2064,3,3,0
31,2174,7,6,1
32,365,5,5,1
32,575,6,5,1
32,588,3,3,0
32,777,4,3,1
32,803,4,4,0
32,928,6,5,0
32,1055,7,6,1
32,1127,5,5,1
32,1157,6,6,0
32,1762,4,3,0
32,2083,5,5,0
33,297,5,5,0
33,376,4,3,1
33,642,6,5,0
33,768,5,6,1
33,1106,4,4,0
33,1581,3,3,1
33,1692,3,3,0
33,2124,3,3,1
34,149,3,3,0
34,391,4,4,1
34,823,3,4,1
34,1252,4,4,0
34,1443,6,5,0
34,1800,3,4,0
35,167,5,3,1
35,201,5,5,0
35,841,6,5,1
35,919,5,5,1
35,1119,6,6,1
36,218,4,3,1
36,315,5,6,1
36,650,5,4,0
36,950,4,4,1
36,1078,5,5,1
36,1401,10,8,0
36,1818,8,6,1
36,1902,4,4,1
36,1919,3,3,0
37,341,7,6,1
