X,Y,W,H,flag
2,726,4,4,0
2,883,4,6,1
2,1607,5,3,0
3,119,6,4,1
3,234,3,3,0
3,274,6,5,1
3,757,6,6,0
3,898,5,5,1
3,1291,4,3,1
3,1346,6,5,1
3,1428,4,4,1
3,1621,7,5,1
3,1720,5,5,1
3,2032,4,4,0
4,143,4,5,0
4,218,4,4,0
4,398,5,5,1
4,430,4,4,1
4,702,4,4,1
4,989,5,6,1
4,1038,6,6,1
4,1282,3,3,1
4,1358,4,4,1
4,1400,5,6,1
4,1777,3,3,0
4,1859,4,7,0
4,1988,9,7,1
5,456,4,5,1
5,788,8,6,1
5,830,5,5,1
5,946,3,3,0
5,1167,6,6,1
5,1487,5,6,1
5,1512,4,6,0
5,1646,7,5,1
5,1660,5,6,1
6,650,3,3,1
6,1155,3,4,1
6,1564,5,5,1
6,1591,5,5,1
6,1849,4,5,1
6,2106,8,5,1
6,2183,4,3,0
7,1326,4,4,1
7,1574,4,4,1
7,1790,4,4,1
8,266,4,4,1
8,717,3,3,1
8,1245,6,9,1
8,1629,5,5,1
8,1769,4,5,1
8,2017,3,3,1
8,2082,6,8,1
9,136,3,4,0
9,494,7,6,1
9,626,3,3,0
9,712,3,3,0
9,1123,3,3,0
9,1386,8,6,1
9,1428,6,6,1
9,1531,5,6,1
9,1948,4,5,1
9,2026,7,6,1
9,2145,3,3,0
9,2162,5,5,1
9,2176,4,3,0
10,250,3,3,1
10,328,3,3,0
10,735,4,4,1
10,855,6,5,1
10,985,10,7,1
10,1181,3,3,1
10,1502,5,6,1
10,1886,6,7,1
10,2118,3,3,1
10,2207,4,5,0
11,302,4,4,1
11,869,5,6,0
11,1301,5,4,1
11,1414,4,5,1
11,1810,4,4,1
11,2044,5,5,1
12,284,5,5,1
12,435,6,5,1
12,485,4,3,0
12,901,3,3,0
12,935,4,4,1
12,1017,4,4,1
12,1704,4,4,1
13,920,3,4,1
13,1637,3,4,1
13,1803,4,4,1
13,1900,6,6,1
13,2055,6,7,1
14,369,5,4,1
14,1231,5,6,1
14,1339,4,4,1
14,1462,4,4,0
14,1568,6,5,1
14,2015,4,4,1
15,252,3,3,0
15,614,4,3,1
15,880,5,4,0
15,1041,6,5,1
15,1547,7,6,1
15,1876,5,5,1
15,1932,10,6,1
15,1971,4,3,1
16,324,3,3,1
16,593,4,4,1
16,665,5,4,1
16,925,6,5,1
16,999,10,7,1
16,1476,7,5,1
16,2216,3,3,0
17,151,6,5,1
17,620,5,4,1
17,716,3,4,0
17,1053,3,3,1
17,1131,4,4,0
17,1143,4,4,0
17,1303,3,3,0
17,1422,7,5,1
17,1601,4,4,1
17,1681,3,3,0
17,1713,3,3,1
17,1758,5,4,1
17,1767,5,5,1
17,1841,6,5,1
17,1917,5,4,1
18,385,3,5,0
18,553,5,5,1
18,582,5,4,1
18,753,4,4,1
18,915,6,5,1
18,1110,7,7,1
18,1488,4,4,1
18,1963,3,3,1
18,2148,3,3,0
18,2174,3,3,0
19,124,4,4,1
19,341,7,6,1
19,359,4,4,1
19,476,3,3,0
19,1148,3,3,0
19,1346,5,5,1
19,1674,4,5,1
19,1720,8,5,1
19,2035,8,7,1
20,704,5,5,1
20,821,6,7,1
20,1252,6,4,0
20,1438,6,5,1
20,1775,4,4,1
20,1814,4,5,1
20,1831,3,3,0
20,2196,4,3,0
21,226,5,5,1
21,295,5,5,1
21,484,5,5,1
21,789,3,3,0
21,805,5,6,1
21,909,7,4,1
21,947,4,3,1
21,971,5,5,1
21,1118,5,5,1
21,1335,5,3,1
21,1363,3,3,1
21,1428,5,5,1
21,1614,6,7,1
22,470,5,5,0
22,887,5,3,0
22,934,3,4,1
22,1216,5,4,1
22,1315,3,3,1
22,1410,4,3,0
22,1742,4,5,1
22,1751,4,4,1
22,2119,3,3,1
23,983,5,6,1
23,1538,3,3,0
24,138,3,3,0
24,595,6,9,1
24,957,3,4,1
24,964,7,6,1
24,1127,6,5,1
24,1146,4,5,0
24,1324,4,3,0
24,1381,3,4,1
24,1574,6,3,1
24,1728,6,5,1
24,1759,3,4,1
24,1804,6,6,1
24,2015,3,3,1
24,2060,8,8,1
25,194,4,3,1
25,248,3,3,1
25,255,5,5,1
25,609,3,3,1
25,700,4,3,1
25,867,5,4,1
25,1177,7,6,1
25,1275,4,3,1
25,1476,5,6,1
25,1785,7,4,1
25,1796,3,3,0
25,2217,6,6,1
26,168,5,6,0
26,376,4,4,0
26,397,4,4,1
26,648,5,5,1
26,836,5,4,1
26,1686,5,5,0
26,2145,5,5,0
27,214,3,3,0
27,271,4,4,0
27,449,5,6,1
27,504,3,3,0
27,560,6,4,0
27,683,6,4,1
27,850,5,5,1
27,1417,5,5,1
27,1521,7,5,1
27,1697,6,6,1
27,1846,6,4,0
27,2104,4,4,1
28,150,6,5,1
28,753,6,5,1
28,1031,6,9,1
28,1106,5,5,1
28,1298,6,4,1
28,1342,4,4,1
28,1710,4,5,1
28,1813,5,4,1
28,1855,7,5,1
28,1975,5,5,1
28,2048,6,5,1
28,2113,6,10,1
29,323,4,4,0
29,948,5,4,0
29,1486,4,4,1
29,1564,6,6,1
29,1839,5,5,1
29,1923,7,4,1
30,201,5,3,1
30,425,4,3,1
30,551,3,3,0
30,675,3,3,1
30,812,4,3,0
30,911,7,6,1
30,994,3,3,1
30,1364,6,7,1
30,1820,4,5,1
30,1946,5,5,1
31,539,5,4,1
31,767,4,6,1
31,1643,4,4,1
31,2200,4,4,1
32,191,4,3,1
32,653,4,4,0
32,939,5,5,1
32,1024,3,3,0
32,1726,5,4,1
33,207,5,4,1
33,410,3,4,1
33,1086,3,4,0
33,1155,3,3,1
33,1275,4,3,1
33,1537,6,6,1
33,1886,5,6,1
33,1990,6,5,0
33,2015,4,4,1
33,2139,3,3,1
33,2174,8,5,0
34,119,4,4,1
34,177,6,5,1
34,267,4,5,1
34,1113,5,5,0
34,1415,4,5,1
34,1901,3,3,1
34,2008,4,3,1
35,221,4,3,0
35,437,6,9,0
35,520,5,6,1
35,927,4,3,0
35,1265,4,4,1
35,1812,3,3,1
35,2093,5,5,0
35,2211,3,3,0
35,2224,3,4,0
36,315,4,4,0
36,457,4,3,1
36,1331,5,6,1
36,1424,3,4,0
36,1799,8,5,1
36,1874,3,3,1
36,2039,5,6,1
36,2133,4,4,1
37,826,6,5,1
37,1191,4,4,1
37,1291,6,6,1
37,1375,4,6,0
37,1746,3,4,1
37,1758,5,5,1
37,2235,6,4,0
38,306,9,4,1
38,397,7,7,1
38,532,3,3,0
38,706,3,3,0
38,1487,5,5,1
38,2120,4,3,1
39,72,4,4,0
39,880,3,3,0
39,1002,5,5,1
39,1476,3,3,0
39,1946,3,3,1
39,2053,3,3,1
39,2104,5,5,1
39,2145,5,5,1
40,685,3,5,1
40,1013,3,3,0
40,1222,5,5,1
40,1688,6,6,1
40,1703,4,4,1
40,1951,3,3,0
40,2192,5,4,1
41,200,3,3,1
41,627,6,6,1
41,694,5,5,1
41,1342,8,4,1
41,1383,5,5,0
41,1399,4,5,0
42,416,6,6,1
42,455,6,5,1
42,763,4,4,1
42,1111,5,4,1
42,1301,3,3,1
